AltimeterType,MergedFileCycleNum,YearFraction,NumObservations,NumWeightObs,StdDev,GSML
0,11,1993.014526,449167,325762.31,89.21,-16.56
0,12,1993.041626,442863,321874.81,91.67,-15.89
0,13,1993.068848,455235,330783.41,87.23,-15.3
0,14,1993.095947,405960,295232.81,90.51,-14.71
0,15,1993.123169,443762,320404.5,88.25,-13.95
0,16,1993.150269,401964,290601.91,87.95,-12.85
0,17,1993.17749,451030,325607.91,86.28,-11.38
0,18,1993.20459,449103,324084.81,86.46,-10.43
0,19,1993.231812,444683,320549,85.62,-9.79
999,20,1993.259033,453272,330625.59,100.06,-9.33
0,21,1993.286133,444537,320365.81,84.27,-8.96
0,22,1993.313355,452455,326443.41,83.62,-8.73
0,23,1993.340454,449582,325639.41,82.92,-8.65
0,24,1993.367676,449888,324459.69,82.38,-8.6
0,25,1993.394775,451614,325850.31,81.88,-8.64
0,26,1993.421997,453404,327526.31,82.72,-8.45
0,27,1993.449097,449850,325608.09,81.65,-8.41
0,28,1993.476318,450658,326969.81,79.89,-8.46
0,29,1993.503418,434491,317374.31,79.72,-8.81
0,30,1993.53064,443183,324192.81,81.03,-9.36
999,31,1993.557861,250246,186603.5,90.61,-9.82
0,32,1993.584961,439275,322355,82.5,-9.98
0,33,1993.612183,408450,299406,83.15,-9.89
0,34,1993.639282,435618,320959.19,84.84,-9.8
0,35,1993.666504,433757,320039.31,84.74,-9.77
0,36,1993.693604,436174,321752.91,82.75,-9.79
0,37,1993.720825,395004,292197,82.57,-9.85
0,38,1993.747925,437304,322723.19,83.05,-9.57
0,39,1993.775147,435258,321005.19,84.35,-9.32
0,40,1993.802246,437227,321177.5,82.51,-9.18
999,41,1993.829468,449305,334348.5,95.37,-9.25
0,42,1993.85669,446017,326013.81,82.64,-9.3
0,43,1993.883789,444482,324038.69,81.76,-9.01
0,44,1993.911011,434667,315678.09,81.61,-8.34
0,45,1993.93811,452899,328359.31,81.64,-7.58
0,46,1993.965332,453477,327174.41,81.98,-7.1
